city,nightmarket_name,latitude,longitude,place_id,wt,url
新竹市,樹林頭夜市,24.8205098,120.9613581,ChIJCzLzm7Y1aDQRCbJy_oKZOhs,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00\u2009–\u200911:30\u202fPM', 'Thursday: Closed', 'Friday: 5:00\u2009–\u200911:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=1962049375567000073
新竹市,後站夜市,24.8009599,120.9742228,ChIJl4SGfQA1aDQR5ksYeImKiMw,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u200911:00\u202fPM', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u200911:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=14738182103599959014
新竹市,青草湖夜市,24.7692143,120.9773363,ChIJB2YKSwVKaDQR6GTJEUjXjsw,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u2009–\u200911:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=14739955334966240488
新竹市,內湖夜市,24.743597,120.9079071,ChIJKbhLWyVLaDQR4nODNxBlDgc,"['Monday: 6:00\u2009–\u200910:30\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 6:00\u2009–\u200910:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=508454928264688610
新竹市,中正台夜市,24.8032411,120.9685613,ChIJWRJ57cE1aDQRDUs75kSh8nU,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",https://maps.google.com/?cid=8499032764094040845
新竹縣,竹北夜市,24.8396309,120.9944896,ChIJyfcTjJg2aDQRIkrPLT_q3BE,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u2009–\u200911:00\u202fPM']",https://maps.google.com/?cid=1287161150593518114
新竹縣,竹東沿河街夜市,24.7332122,121.1002795,ChIJ66JNHMJHaDQRcfoYYpgTbKc,[],https://maps.google.com/?cid=12064039047020477041
新竹縣,竹東二重埔夜市,24.765252,121.0574823,ChIJzVAf-903aDQRjVXnS1Jrahw,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 6:00\u2009–\u200911:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=2047566981798253965
新竹縣,湖口夜市,24.8959744,121.0416384,ChIJkSzT31YwaDQR0gMisvZ67fE,[],https://maps.google.com/?cid=17432724932590175186
新竹縣,關西夜市,24.7829333,121.1784034,ChIJkZ_-u9E-aDQRquAUNxsytn0,"['Monday: Closed', 'Tuesday: 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=9058482792971952298
